TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
15.089999999999998,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,0
377.2400000000001,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,0
127.28999999999996,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,0
185.49999999999994,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,0
14.449999999999998,Credit,Atlanta,Online,26.0,Student,198.0,1.0,7429.4,0
93.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,0
8.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,0
172.41999999999993,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,0
107.22999999999998,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,0
816.9599999999998,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,0
18.78,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,0
191.02000000000007,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,0
495.51999999999987,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,0
782.7599999999996,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,0
167.98999999999995,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,0
466.4500000000001,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,0
556.8000000000002,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,0
493.92999999999984,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,0
19.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,0
72.48000000000002,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,0
60.32,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,0
86.76999999999997,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,0
53.199999999999996,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,0
346.8399999999999,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,0
146.54000000000005,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,0
8.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,0
247.92999999999998,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3500000000004,1
41.32000000000003,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,0
128.45000000000002,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,0
57.17000000000001,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,0
29.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,0
60.11999999999999,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,0
397.45000000000005,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,0
878.8099999999997,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,0
256.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,0
125.75999999999999,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,0
79.12999999999998,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,0
650.28,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,0
796.3100000000002,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,0
336.6299999999999,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,0
329.4700000000001,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,0
35.02000000000001,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,0
242.41999999999993,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,0
56.31999999999998,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,0
305.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,0
436.27000000000015,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,0
165.49000000000007,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,0
511.24000000000024,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,0
627.8999999999999,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,0
23.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,0
426.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,0
425.5599999999999,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,0
86.42999999999999,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,0
170.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,0
105.63000000000001,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,0
317.94999999999993,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,0
61.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,0
293.55999999999995,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,0
387.51999999999987,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,0
113.07000000000004,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,0
569.52,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,0
264.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,0
350.6400000000001,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,0
602.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,0
6.7700000000000005,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,0
202.33000000000007,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,0
299.4199999999999,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,0
522.0599999999998,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,0
118.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,0
190.12,Credit,Indianapolis,Branch,32.0,Engineer,103.0,1.0,977.0100000000002,0
134.54999999999998,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,0
144.20999999999998,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,0
25.77000000000001,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,0
234.9199999999999,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,0
1213.5099999999998,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999998,0
233.11999999999995,Debit,Omaha,ATM,37.0,Engineer,51.0,1.0,6689.87,0
163.63000000000005,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.1700000000001,0
92.53000000000002,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,0
121.29000000000002,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,0
175.24999999999997,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,0
184.71000000000004,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,0
346.39000000000004,Credit,Phoenix,Online,58.0,Engineer,80.0,1.0,6451.96,0
923.5500000000003,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,0
260.90999999999997,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,0
155.71000000000006,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,0
1341.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,0
25.56,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,0
569.0699999999998,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,0
10.609999999999998,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,0
393.96,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,0
717.9299999999998,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,0
224.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,2
231.65999999999994,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,0
443.1200000000002,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8000000000002,0
645.1700000000002,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,0
509.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,0
859.6299999999998,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,0
26.360000000000003,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,0
148.62000000000006,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,0
